sample,mode,events_read,events_kept,kept_fraction,sumw,mean_thrust,mean_n_selected,mean_selected_energy,mean_final_photons,mean_final_non_isr_photons,mean_isr_photons,chi2_full,ndf_full,chi2ndf_full,mean_abs_frac_full,chi2_central,ndf_central,chi2ndf_central,mean_abs_frac_central
Herwig 7.1.5,all visible,50000,50000,1,47215.519,0.88050863,30.682788,88.469704,3.5845846,3.1081646,0.47641999,149816.8,42,3567.0666,7.3208,67568.156,30,2252.2719,2.4103994
PYTHIA 8.317,all visible,50000,50000,1,46870.547,0.88294427,31.224217,88.190325,3.6515384,3.1341011,0.51743728,129738.54,42,3089.0129,6.5270834,61570.567,30,2052.3522,2.2958326
Sherpa 2.2.6,all visible,50000,50000,1,46825.191,0.87776217,33.257174,87.859971,3.935973,3.3697589,0.5662141,141507.19,42,3369.2189,6.8968807,70106.524,30,2336.8841,2.4740771
PYTHIA 8.317 (Vincia),all visible,50000,50000,1,46498.655,0.88272813,31.870824,88.301032,3.7225469,3.2205804,0.50196651,125768.14,42,2994.4796,6.2500835,60922.65,30,2030.755,2.2692905
Herwig 7.1.5,no photons,50000,50000,1,47215.519,0.88156186,27.574623,79.519237,3.5845846,3.1081646,0.47641999,132725.5,42,3160.1309,6.7210271,63196.21,30,2106.5403,2.3638654
PYTHIA 8.317,no photons,50000,50000,1,46870.547,0.88379588,28.090116,79.341404,3.6515384,3.1341011,0.51743728,120394.22,42,2866.5289,6.1313025,57963.219,30,1932.1073,2.2541482
Sherpa 2.2.6,no photons,50000,50000,1,46825.191,0.87862214,29.887415,78.980586,3.935973,3.3697589,0.5662141,131457.35,42,3129.9369,6.1861932,67385.301,30,2246.1767,2.4500111
PYTHIA 8.317 (Vincia),no photons,50000,50000,1,46498.655,0.88369792,28.650244,79.382171,3.7225469,3.2205804,0.50196651,117549,42,2798.7857,5.9454539,57132.749,30,1904.425,2.2293609
Herwig 7.1.5,hadron-only, no photons,50000,49999,0.99998,47214.703,0.8820249,26.173014,75.481097,3.5845602,3.1081492,0.47641094,128645.45,42,3062.9868,6.4711661,62631.063,30,2087.7021,2.3603388
PYTHIA 8.317,hadron-only, no photons,50000,50000,1,46870.547,0.8842745,26.661125,75.309386,3.6515384,3.1341011,0.51743728,115826.86,42,2757.7823,5.7225416,56598.288,30,1886.6096,2.2412041
Sherpa 2.2.6,hadron-only, no photons,50000,50000,1,46825.191,0.87907989,28.37615,75.003423,3.935973,3.3697589,0.5662141,125635.67,42,2991.3255,5.8314868,65999.545,30,2199.9848,2.4364496
PYTHIA 8.317 (Vincia),hadron-only, no photons,50000,50000,1,46498.655,0.88414256,27.188909,75.348883,3.7225469,3.2205804,0.50196651,113499.88,42,2702.378,5.61234,57025.319,30,1900.844,2.2412002

Notes
all_visible,final-state charged plus neutral visible particles; neutrinos and flagged ISR photons excluded
no_photon,all_visible plus every PDG 22 photon excluded from the thrust input
hadron_no_photon,only final-state hadrons are used; neutrinos photons leptons and flagged ISR photons excluded; requires at least 5 selected hadrons and selected hadron energy above 20 GeV
max_entries_per_file,50000
important,events are not vetoed for ISR photons because an ISR ON correction sample must retain radiative events; photons are removed from the event-shape input instead
